DECT1:
Threshold:0.45
Tension: 2000V
Width: 26ns
Count (1min): 2252

DECT2:
Threshold: 0.05
Tension: 1950
Width: 41ns
Count (1min): 2446

Sans delay: 93 , 89, 88, 94
Avec delay (63ns): 10, 10, 17, 12

Plot
Temps d'acquisition: 4min
Delay = 63ns

04/04/2025
Width,Count_WO,Count
50,380,221
40,341,147
35,348,76
30,324,39
20,357,27
10,203,12

18/04/2025
Width,Count_WO,Count
50,380,221
40,341,147
35,331,76
30,400,39
20,371,27
10,203,12
