Temps (s),CH1 (V),CH2 (V),CH3 (V)
1.5006002400960383e-08,49.0,-2.0,-53.0
1.5126050420168068e-08,49.0,-2.0,-53.0
1.524609843937575e-08,49.0,-2.0,-53.0
1.5366146458583433e-08,50.0,-1.0,-53.0
1.5486194477791115e-08,50.0,-1.0,-53.0
1.5606242496998797e-08,50.0,-1.0,-52.0
1.5726290516206483e-08,50.0,-1.0,-52.0
1.5846338535414165e-08,50.0,-1.0,-52.0
1.5966386554621847e-08,50.0,-1.0,-52.0
1.6086434573829533e-08,50.0,-2.0,-52.0
1.6206482593037215e-08,50.0,-2.0,-52.0
1.6326530612244897e-08,50.0,-2.0,-52.0
1.644657863145258e-08,50.0,-2.0,-52.0
1.6566626650660262e-08,50.0,-2.0,-52.0
1.6686674669867947e-08,50.0,-2.0,-52.0
1.680672268907563e-08,50.0,-2.0,-52.0
1.6926770708283312e-08,50.0,-2.0,-53.0
1.7046818727490997e-08,50.0,-2.0,-53.0
1.716686674669868e-08,50.0,-1.0,-53.0
1.7286914765906362e-08,50.0,-2.0,-53.0
1.7406962785114044e-08,50.0,-2.0,-53.0
1.7527010804321726e-08,50.0,-2.0,-53.0
1.7647058823529412e-08,50.0,-2.0,-53.0
1.7767106842737094e-08,50.0,-2.0,-53.0
1.7887154861944776e-08,50.0,-2.0,-53.0
1.8007202881152462e-08,50.0,-2.0,-52.0
1.8127250900360144e-08,50.0,-2.0,-53.0
1.8247298919567826e-08,50.0,-2.0,-53.0
1.836734693877551e-08,50.0,-2.0,-53.0
1.848739495798319e-08,49.0,-2.0,-53.0
1.8607442977190876e-08,49.0,-2.0,-53.0
1.872749099639856e-08,49.0,-2.0,-53.0
1.884753901560624e-08,49.0,-2.0,-53.0
1.8967587034813927e-08,49.0,-2.0,-53.0
1.908763505402161e-08,49.0,-2.0,-53.0
1.920768307322929e-08,49.0,-2.0,-53.0
1.9327731092436973e-08,49.0,-2.0,-54.0
1.9447779111644655e-08,49.0,-2.0,-54.0
1.956782713085234e-08,49.0,-1.0,-54.0
1.9687875150060023e-08,49.0,-2.0,-54.0
1.9807923169267706e-08,49.0,-2.0,-54.0
1.992797118847539e-08,49.0,-2.0,-54.0
2.0048019207683073e-08,49.0,-2.0,-54.0
2.0168067226890756e-08,49.0,-2.0,-54.0
2.0288115246098438e-08,49.0,-2.0,-54.0
2.040816326530612e-08,49.0,-2.0,-53.0
2.0528211284513806e-08,49.0,-2.0,-53.0
2.0648259303721488e-08,49.0,-2.0,-53.0
2.076830732292917e-08,49.0,-1.0,-53.0
2.0888355342136856e-08,48.0,-1.0,-53.0
2.1008403361344538e-08,48.0,-1.0,-53.0
2.112845138055222e-08,48.0,-1.0,-53.0
2.1248499399759902e-08,48.0,-1.0,-53.0
2.1368547418967585e-08,48.0,-1.0,-53.0
2.148859543817527e-08,48.0,-1.0,-53.0
2.1608643457382952e-08,47.0,-1.0,-52.0
2.1728691476590635e-08,47.0,-1.0,-53.0
2.184873949579832e-08,48.0,-1.0,-53.0
2.1968787515006002e-08,48.0,0.0,-53.0
2.2088835534213685e-08,48.0,-1.0,-53.0
2.2208883553421367e-08,48.0,-1.0,-53.0
2.232893157262905e-08,48.0,-1.0,-53.0
2.2448979591836735e-08,48.0,-1.0,-53.0
2.2569027611044417e-08,49.0,-1.0,-53.0
2.26890756302521e-08,48.0,-1.0,-53.0
2.2809123649459785e-08,48.0,-1.0,-52.0
2.2929171668667467e-08,48.0,-1.0,-52.0
2.304921968787515e-08,48.0,-1.0,-53.0
2.316926770708283e-08,48.0,-1.0,-53.0
2.3289315726290514e-08,48.0,-1.0,-53.0
2.34093637454982e-08,48.0,-1.0,-53.0
2.352941176470588e-08,48.0,-1.0,-54.0
2.3649459783913564e-08,48.0,-1.0,-54.0
2.376950780312125e-08,48.0,-1.0,-54.0
2.388955582232893e-08,48.0,-1.0,-54.0
2.4009603841536614e-08,48.0,-1.0,-54.0
2.4129651860744296e-08,48.0,-1.0,-54.0
2.4249699879951978e-08,48.0,-1.0,-54.0
2.4369747899159664e-08,48.0,-1.0,-54.0
2.4489795918367346e-08,48.0,-2.0,-54.0
2.4609843937575028e-08,48.0,-2.0,-53.0
2.4729891956782714e-08,48.0,-2.0,-53.0
2.4849939975990396e-08,48.0,-2.0,-53.0
2.4969987995198078e-08,49.0,-2.0,-53.0
2.509003601440576e-08,49.0,-2.0,-52.0
2.5210084033613443e-08,49.0,-2.0,-52.0
2.5330132052821128e-08,49.0,-2.0,-53.0
2.545018007202881e-08,49.0,-2.0,-53.0
2.5570228091236493e-08,49.0,-1.0,-53.0
2.569027611044418e-08,49.0,-2.0,-53.0
2.581032412965186e-08,49.0,-2.0,-53.0
2.5930372148859543e-08,49.0,-2.0,-53.0
2.6050420168067225e-08,49.0,-2.0,-54.0
2.6170468187274907e-08,49.0,-2.0,-54.0
2.6290516206482593e-08,49.0,-2.0,-53.0
2.6410564225690275e-08,49.0,-2.0,-53.0
2.6530612244897957e-08,49.0,-2.0,-53.0
2.6650660264105643e-08,49.0,-2.0,-53.0
2.6770708283313325e-08,49.0,-1.0,-53.0
2.6890756302521007e-08,49.0,-1.0,-53.0
2.701080432172869e-08,49.0,-1.0,-52.0
2.7130852340936372e-08,49.0,-1.0,-53.0
2.7250900360144057e-08,49.0,-1.0,-53.0
2.737094837935174e-08,50.0,-1.0,-53.0
2.7490996398559422e-08,50.0,-2.0,-53.0
2.7611044417767107e-08,50.0,-2.0,-53.0
2.773109243697479e-08,50.0,-2.0,-53.0
2.7851140456182472e-08,50.0,-2.0,-53.0
2.7971188475390154e-08,50.0,-2.0,-53.0
2.8091236494597836e-08,49.0,-2.0,-53.0
2.8211284513805522e-08,49.0,-2.0,-52.0
2.8331332533013204e-08,49.0,-2.0,-52.0
2.8451380552220886e-08,49.0,-2.0,-52.0
2.8571428571428572e-08,49.0,-1.0,-52.0
2.8691476590636254e-08,49.0,-1.0,-52.0
2.8811524609843937e-08,48.0,-1.0,-52.0
2.893157262905162e-08,48.0,-1.0,-53.0
2.90516206482593e-08,49.0,-1.0,-53.0
2.9171668667466987e-08,49.0,-1.0,-53.0
2.929171668667467e-08,49.0,-2.0,-53.0
2.941176470588235e-08,49.0,-2.0,-53.0
2.9531812725090037e-08,49.0,-2.0,-54.0
2.965186074429772e-08,49.0,-2.0,-54.0
2.97719087635054e-08,50.0,-2.0,-54.0
2.989195678271308e-08,50.0,-2.0,-54.0
3.0012004801920766e-08,50.0,-3.0,-53.0
3.013205282112845e-08,50.0,-3.0,-53.0
3.0252100840336137e-08,50.0,-2.0,-53.0
3.037214885954382e-08,50.0,-2.0,-52.0
3.04921968787515e-08,50.0,-2.0,-52.0
3.0612244897959183e-08,50.0,-2.0,-51.0
3.0732292917166866e-08,50.0,-2.0,-51.0
3.085234093637455e-08,50.0,-2.0,-52.0
3.097238895558223e-08,50.0,-1.0,-52.0
3.109243697478991e-08,50.0,-1.0,-52.0
3.1212484993997595e-08,50.0,-2.0,-52.0
3.1332533013205283e-08,50.0,-2.0,-52.0
3.1452581032412966e-08,50.0,-2.0,-52.0
