Temps (s),CH1 (V),CH2 (V)
0.0,-1.0,1.0
2.4009603841536616e-11,-1.0,1.0
4.801920768307323e-11,-1.0,1.0
7.202881152460985e-11,-1.0,1.0
9.603841536614647e-11,-1.0,1.0
1.2004801920768307e-10,-1.0,1.0
1.440576230492197e-10,-1.0,1.0
1.6806722689075633e-10,-1.0,1.0
1.9207683073229293e-10,-1.0,1.0
2.1608643457382953e-10,-1.0,1.0
2.4009603841536614e-10,-1.0,1.0
2.641056422569028e-10,-1.0,1.0
2.881152460984394e-10,-1.0,1.0
3.12124849939976e-10,-1.0,1.0
3.3613445378151265e-10,-1.0,1.0
3.6014405762304926e-10,-1.0,1.0
3.8415366146458586e-10,-1.0,1.0
4.0816326530612246e-10,-1.0,1.0
4.3217286914765907e-10,-1.0,1.0
4.561824729891957e-10,-1.0,1.0
4.801920768307323e-10,-1.0,1.0
5.042016806722689e-10,-1.0,1.0
5.282112845138056e-10,-1.0,1.0
5.522208883553421e-10,-1.0,1.0
5.762304921968788e-10,-1.0,1.0
6.002400960384154e-10,-1.0,1.0
6.24249699879952e-10,-1.0,1.0
6.482593037214887e-10,-1.0,1.0
6.722689075630253e-10,-1.0,1.0
6.962785114045619e-10,-1.0,1.0
7.202881152460985e-10,-1.0,1.0
7.442977190876351e-10,-1.0,1.0
7.683073229291717e-10,-1.0,1.0
7.923169267707084e-10,-1.0,1.0
8.163265306122449e-10,-1.0,1.0
8.403361344537816e-10,-1.0,1.0
8.643457382953181e-10,-1.0,1.0
8.883553421368548e-10,-1.0,0.0
9.123649459783914e-10,-1.0,0.0
9.36374549819928e-10,-1.0,0.0
9.603841536614646e-10,-1.0,0.0
9.843937575030012e-10,-1.0,0.0
1.0084033613445379e-09,-1.0,1.0
1.0324129651860745e-09,-1.0,1.0
1.0564225690276112e-09,-1.0,0.0
1.0804321728691478e-09,-1.0,0.0
1.1044417767106843e-09,-1.0,0.0
1.128451380552221e-09,-1.0,0.0
1.1524609843937576e-09,-1.0,0.0
1.1764705882352942e-09,-1.0,0.0
1.2004801920768309e-09,-1.0,0.0
1.2244897959183673e-09,-1.0,0.0
1.248499399759904e-09,-1.0,1.0
1.2725090036014407e-09,-1.0,1.0
1.2965186074429773e-09,-1.0,1.0
1.320528211284514e-09,-1.0,1.0
1.3445378151260506e-09,-1.0,1.0
1.368547418967587e-09,-1.0,1.0
1.3925570228091237e-09,-1.0,1.0
1.4165666266506604e-09,-1.0,1.0
1.440576230492197e-09,-1.0,1.0
1.4645858343337337e-09,0.0,1.0
1.4885954381752701e-09,0.0,1.0
1.5126050420168068e-09,0.0,1.0
1.5366146458583434e-09,0.0,1.0
1.56062424969988e-09,-1.0,1.0
1.5846338535414168e-09,-1.0,1.0
1.6086434573829532e-09,0.0,0.0
1.6326530612244899e-09,0.0,0.0
1.6566626650660265e-09,0.0,0.0
1.6806722689075632e-09,0.0,0.0
1.7046818727490998e-09,0.0,0.0
1.7286914765906363e-09,0.0,0.0
1.752701080432173e-09,0.0,0.0
1.7767106842737096e-09,-1.0,1.0
1.8007202881152462e-09,-1.0,1.0
1.8247298919567829e-09,-1.0,1.0
1.8487394957983195e-09,-1.0,1.0
1.872749099639856e-09,-1.0,1.0
1.8967587034813927e-09,-1.0,1.0
1.920768307322929e-09,-1.0,1.0
1.944777911164466e-09,0.0,1.0
1.9687875150060024e-09,0.0,1.0
1.9927971188475393e-09,0.0,1.0
2.0168067226890757e-09,0.0,1.0
2.0408163265306126e-09,0.0,1.0
2.064825930372149e-09,0.0,1.0
2.0888355342136855e-09,0.0,1.0
2.1128451380552223e-09,0.0,1.0
2.1368547418967588e-09,0.0,1.0
2.1608643457382957e-09,0.0,1.0
2.184873949579832e-09,0.0,1.0
