Temps (s),CH1 (V),CH2 (V),CH3 (V)
0.0,-12.0,4.0,3.0
1.2004801920768307e-09,-12.0,4.0,4.0
2.4009603841536614e-09,-13.0,4.0,4.0
3.601440576230492e-09,-13.0,5.0,4.0
4.801920768307323e-09,-12.0,3.0,4.0
6.0024009603841534e-09,-11.0,4.0,4.0
7.202881152460984e-09,-12.0,4.0,4.0
8.403361344537815e-09,-13.0,3.0,4.0
9.603841536614646e-09,-13.0,4.0,4.0
1.0804321728691476e-08,-11.0,5.0,4.0
1.2004801920768307e-08,-12.0,4.0,5.0
1.3205282112845138e-08,-12.0,4.0,4.0
1.4405762304921968e-08,-13.0,3.0,5.0
1.5606242496998797e-08,-13.0,4.0,5.0
1.680672268907563e-08,-12.0,4.0,5.0
1.8007202881152462e-08,-11.0,4.0,5.0
1.920768307322929e-08,-11.0,5.0,4.0
2.040816326530612e-08,-12.0,4.0,3.0
2.1608643457382952e-08,-12.0,3.0,5.0
2.2809123649459785e-08,-12.0,5.0,4.0
2.4009603841536614e-08,-12.0,3.0,4.0
2.5210084033613443e-08,-12.0,4.0,4.0
2.6410564225690275e-08,-12.0,4.0,4.0
2.7611044417767107e-08,-12.0,4.0,4.0
2.8811524609843937e-08,-13.0,4.0,3.0
3.0012004801920766e-08,-14.0,5.0,3.0
3.1212484993997595e-08,-12.0,5.0,4.0
3.241296518607443e-08,-11.0,3.0,5.0
3.361344537815126e-08,-12.0,4.0,3.0
3.481392557022809e-08,-12.0,5.0,3.0
3.6014405762304924e-08,-13.0,5.0,3.0
3.721488595438175e-08,-12.0,4.0,4.0
3.841536614645858e-08,-13.0,4.0,4.0
3.961584633853541e-08,-12.0,3.0,3.0
4.081632653061224e-08,-13.0,4.0,4.0
4.2016806722689076e-08,-13.0,3.0,4.0
4.3217286914765905e-08,-12.0,4.0,3.0
4.4417767106842734e-08,-12.0,4.0,4.0
4.561824729891957e-08,-12.0,4.0,4.0
4.68187274909964e-08,-12.0,5.0,3.0
4.801920768307323e-08,-11.0,3.0,3.0
4.9219687875150057e-08,-12.0,3.0,4.0
5.0420168067226886e-08,-13.0,4.0,5.0
5.162064825930372e-08,-12.0,4.0,4.0
5.282112845138055e-08,-12.0,4.0,4.0
5.402160864345738e-08,-14.0,4.0,5.0
5.5222088835534215e-08,-14.0,4.0,3.0
5.6422569027611044e-08,-14.0,4.0,2.0
