Temps (s),CH2 (V),CH3 (V),CH4 (V)
3.097238895558223e-07,62.0,-42.0,5.0
3.12124849939976e-07,61.0,-42.0,5.0
3.1452581032412964e-07,62.0,-43.0,5.0
3.169267707082833e-07,61.0,-42.0,4.0
3.19327731092437e-07,62.0,-43.0,4.0
3.2172869147659063e-07,62.0,-44.0,5.0
3.241296518607443e-07,61.0,-43.0,4.0
3.265306122448979e-07,61.0,-43.0,4.0
3.289315726290516e-07,62.0,-43.0,4.0
3.3133253301320526e-07,62.0,-42.0,5.0
3.337334933973589e-07,61.0,-43.0,5.0
3.361344537815126e-07,61.0,-44.0,4.0
3.3853541416566625e-07,62.0,-43.0,4.0
3.409363745498199e-07,61.0,-43.0,4.0
3.433373349339736e-07,61.0,-43.0,4.0
3.4573829531812724e-07,62.0,-43.0,5.0
3.481392557022809e-07,62.0,-42.0,5.0
3.505402160864346e-07,62.0,-42.0,4.0
3.529411764705882e-07,62.0,-42.0,4.0
3.5534213685474187e-07,62.0,-43.0,4.0
3.5774309723889557e-07,60.0,-43.0,4.0
3.601440576230492e-07,62.0,-42.0,4.0
3.6254501800720286e-07,62.0,-43.0,4.0
3.6494597839135656e-07,62.0,-43.0,4.0
3.673469387755102e-07,61.0,-43.0,4.0
3.6974789915966385e-07,61.0,-42.0,4.0
3.721488595438175e-07,62.0,-43.0,4.0
3.745498199279712e-07,62.0,-43.0,4.0
3.7695078031212483e-07,61.0,-43.0,5.0
3.793517406962785e-07,63.0,-43.0,4.0
3.817527010804322e-07,62.0,-42.0,4.0
3.841536614645858e-07,62.0,-42.0,4.0
3.8655462184873946e-07,62.0,-42.0,4.0
3.8895558223289316e-07,62.0,-43.0,5.0
3.913565426170468e-07,62.0,-43.0,5.0
3.9375750300120045e-07,62.0,-43.0,5.0
3.9615846338535415e-07,62.0,-42.0,5.0
3.985594237695078e-07,62.0,-42.0,4.0
4.0096038415366144e-07,62.0,-43.0,5.0
4.033613445378151e-07,62.0,-42.0,4.0
4.057623049219688e-07,61.0,-42.0,5.0
4.0816326530612243e-07,61.0,-41.0,4.0
4.1056422569027607e-07,62.0,-43.0,5.0
4.1296518607442977e-07,62.0,-43.0,5.0
4.153661464585834e-07,62.0,-43.0,5.0
