deltaT, channel,error
0.1,38,3
0.2,58,1
0.4,100,3
0.6,139,
0.8,181
1,222
1.2,257
1.4,301
1.6,342
1.8,382
2.0,421
2.5,523
3,622
3.5,727
4,831
5,1037
6,1243
7,1444
8,1645
9,1847
9.5,1948
