Tresh (V),N
0.15,13594
0.20,3597
0.22,2328
0.24,2335
0.26,1987
0.28,1015
0.30,839
0.31,629
0.32,471
0.33,553
0.34,446
0.35,396
0.36,488
0.37,358
0.38,432
0.39,417
0.40,332
