DECT1:
Threshold:0.45
Tension: 2000V
Count (1min):

DECT2:
Threshold: 0.05
Tension: 2020
Count (1min):
Delay = 63ns

DECT3:
Threshold: 0.3
Tension: 2060
Count (1min): 
delay = 31ns

Plot
Temps d'acquisition: 10min

18/04/2025
Width,Count_WO,Count
10,24,5
30,112,41
30,101,48
20,61,24
20,64,16
40,125,72
25,100,36
25,77,34
15,33,4


